Latitude: 26.7126401,Longitude:88.43903537
Latitude: 26.71310748, Longitude: 88.43906787
Latitude: 26.71336624, Longitude: 88.43999859
Latitude: 26.71422089, Longitude: 88.43970297
Latitude: 26.71257032, Longitude: 88.43954846
Latitude: 26.7133623, Longitude: 88.43848595
Latitude: 26.71406012, Longitude: 88.43833544
Latitude: 26.71360159, Longitude: 88.43939715
Latitude: 26.71268322, Longitude: 88.4381916
Latitude: 26.71290548, Longitude: 88.43795231
Latitude: 26.71239738, Longitude: 88.43771765
Latitude: 26.71112553, Longitude: 88.43770273
Latitude: 26.71075431, Longitude: 88.43731949
Latitude: 26.7130752, Longitude: 88.43732171
Latitude: 26.71269524, Longitude: 88.43708148
Latitude: 26.71235422, Longitude: 88.43836874
Latitude: 26.71464393, Longitude: 88.43731326
Latitude: 26.71466388, Longitude: 88.43834061
Latitude: 26.71468155, Longitude: 88.4388276
Latitude: 26.71467146, Longitude: 88.43957634
Latitude: 26.71458373, Longitude: 88.44079731
Latitude: 26.71411433, Longitude: 88.43725424
Latitude: 26.714084, Longitude: 88.43839893
Latitude: 26.71396899, Longitude: 88.43893001
Latitude: 26.71408192, Longitude: 88.43688136
Latitude: 26.7136648, Longitude: 88.43684366
Latitude: 26.71354176, Longitude: 88.4372983
Latitude: 26.71351527, Longitude: 88.43792066
Latitude: 26.71376948, Longitude: 88.43627626
Latitude: 26.71410266, Longitude: 88.43585365
Latitude: 26.71421878, Longitude: 88.43648711
Latitude: 26.71447501, Longitude: 88.43633309
Latitude: 26.7147748, Longitude: 88.43349738
Latitude: 26.71451662, Longitude: 88.43450935
Latitude: 26.71428162, Longitude: 88.43492465
Latitude: 26.71454859, Longitude: 88.43526648
Latitude: 26.71454877, Longitude: 88.43588222
Latitude: 26.71482205, Longitude: 88.43451663
Latitude: 26.71382969, Longitude: 88.43440121
Latitude: 26.71392648, Longitude: 88.43406394
Latitude: 26.71477575, Longitude: 88.43282991
Latitude: 26.71476553, Longitude: 88.43238377
Latitude: 26.71433982, Longitude: 88.4319979
Latitude: 26.71401074, Longitude: 88.43231769
Latitude: 26.71402883, Longitude: 88.43253419
Latitude: 26.71403588, Longitude: 88.43301034
Latitude: 26.71387645, Longitude: 88.43353919
Latitude: 26.71388603, Longitude: 88.43380741
Latitude: 26.71432083, Longitude: 88.42948884
Latitude: 26.71466269, Longitude: 88.42968111
Latitude: 26.71453017, Longitude: 88.43019353
Latitude: 26.7146697, Longitude: 88.43054674
Latitude: 26.71468522, Longitude: 88.43101537
Latitude: 26.71468963, Longitude: 88.43123691
Latitude: 26.71469972, Longitude: 88.43148412
Latitude: 26.7147261, Longitude: 88.43185437
Latitude: 26.71277656, Longitude: 88.43612961
Latitude: 26.71298272, Longitude: 88.43618832
Latitude: 26.71311824, Longitude: 88.43645725
Latitude: 26.71301761, Longitude: 88.43684617
Latitude: 26.71341129, Longitude: 88.43694214
Latitude: 26.71303654, Longitude: 88.43535735
Latitude: 26.71347855, Longitude: 88.43455418
Latitude: 26.71350138, Longitude: 88.43548724
